GHM;MCO;CAS;DA;GP;GA;Classif PKCS;Libracine;Recours;Regroupement GHM PH
13C14;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgie pour tumeurs malignes (app génital fem);Gynécologie - sein;Exentérations pelviennes, hystérectomies élargies ou vulvectomies pour tumeurs malignes;oui  ;Exentération pelvienne, hystérectomie élargie, vulvectomie, pour tumeur maligne
13C15;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgies pelviennes majeures (app gen feminin);Gynécologie - sein;Exentérations pelviennes, hystérectomies élargies ou vulvectomies pour affections non malignes;non  ;Exentération pelvienne, hystérectomie élargie, vulvectomie, aff. non maligne
13C17;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Autres chirurgies gynécologiques autres que le sein;Gynécologie - sein;Cervicocystopexie;non  ;Interv réparatrices appareil génital fém (Prolapsus, cervicocytopexie..)
13C18;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgies utérus / annexes;Gynécologie - sein;Myomectomies de l'utérus;non  ;Myomectomies de l'utérus
13C19;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgies utérus / annexes;Gynécologie - sein;Interventions pour stérilité ou motifs de soins liés à la reproduction;non  ;Chir pour stérilité ou motif lié à la reproduction
13C20;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgies utérus / annexes;Gynécologie - sein;Exérèses ou destructions de lésions du col de l'utérus sauf conisations;non  ;Exérèse, destruction lésions col de l'utérus sauf conisation
13M03;Médecine;Médecine sans acte classant;Gynécologie - sein;Gynécologie, Sénologie (hors Obstétrique);Prise en charge médicale des tumeurs de l'appareil génital féminin;Gynécologie - sein;Tumeurs malignes de l'appareil génital féminin;non  ;PEC med tumeurs appareil génital féminin
13M04;Médecine;Médecine sans acte classant;Gynécologie - sein;Gynécologie, Sénologie (hors Obstétrique);Autres affections appareil génital féminin;Gynécologie - sein;Autres affections de l'appareil génital féminin;non  ;Autre affection app génital féminin (CAS : M)
13M05;Médecine;Médecine sans acte classant;Gynécologie - sein;Gynécologie, Sénologie (hors Obstétrique);Infections gynécologiques d'organes autres que le sein;Gynécologie - sein;Infections de l'utérus et de ses annexes;non  ;Infections de l'utérus et de ses annexes
13M06;Médecine;Médecine sans acte classant;Gynécologie - sein;Gynécologie, Sénologie (hors Obstétrique);Infections gynécologiques d'organes autres que le sein;Gynécologie - sein;Autres infections de l'appareil génital féminin;non  ;Autres infections de l'appareil génital féminin
13M07;Médecine;Médecine sans acte classant;Gynécologie - sein;Gynécologie, Sénologie (hors Obstétrique);Prise en charge médicale des tumeurs de l'appareil génital féminin;Gynécologie - sein;Autres tumeurs de l'appareil génital féminin;non  ;PEC med tumeurs appareil génital féminin
13M08;Médecine;Médecine sans acte classant;Gynécologie - sein;Gynécologie, Sénologie (hors Obstétrique);AMP;Gynécologie - sein;Assistance médicale à la procréation;non  ;Assistance médicale à la procréation
16C02;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Autres chirurgies digestives;Chirurgie digestive;Interventions sur la rate;non  ;Interventions sur la rate
16C03;Chirurgie;Chirurgie;Hématologie;Chir. pour Aff. des Org. Hématopoiétiques, Lymphomes, Leucémies, Tumeurs SID;Chirurgie au cours des tumeurs malignes (hématologie);Chirurgie tumeur hématologique;Autres interventions pour affections du sang et des organes hématopoïétiques;non  ;Chirurgie au cours des tumeurs malignes (hématologie)
16M06;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Affections de la rate;non  ;Affections de la rate
16M07;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Donneurs de moëlle;Hématologie;Donneurs de moelle;oui  ;Donneurs de moelle
16M08;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Déficits immunitaires;non  ;Déficits immunitaires
16M09;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Autres affections du système réticuloendothélial ou immunitaire;non  ;Autres affections du système réticuloendothélial ou immunitaire
16M10;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Troubles sévères de la lignée érythrocytaire, âge supérieur à 17 ans;non  ;Trouble sévère lignée érythrocytaire > 17 ans (drépano, aplasie…)
16M11;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Autres troubles de la lignée érythrocytaire, âge supérieur à 17 ans;non  ;Autre trouble lignée érythrocytaire, > 17 ans (anémie++...)
16M12;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Purpuras;non  ;Purpuras
16M13;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Autres troubles de la coagulation;non  ;Autres troubles de la coagulation
16M16;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Troubles sévères de la lignée érythrocytaire, âge inférieur à 18 ans;non  ;Trouble sévère lignée érythrocytaire < 18 ans (drépano, aplasie…)
16M17;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Autres troubles de la lignée érythrocytaire, âge inférieur à 18 ans;non  ;Autres troubles de la lignée érythrocytaire < 18 ans
16M18;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Autres affections hématologiques concernant majoritairement la petite enfance;non  ;Autre affection hémato de la petite enfance
17C02;Chirurgie;Chirurgie;Hématologie;Chir. pour Aff. des Org. Hématopoiétiques, Lymphomes, Leucémies, Tumeurs SID;Chirurgie au cours des tumeurs malignes (hématologie);Chirurgie tumeur hématologique;Interventions majeures au cours de lymphomes ou de leucémies;non  ;Chirurgie au cours des tumeurs malignes (hématologie)
17C03;Chirurgie;Chirurgie;Hématologie;Chir. pour Aff. des Org. Hématopoiétiques, Lymphomes, Leucémies, Tumeurs SID;Chirurgie au cours des tumeurs malignes (hématologie);Chirurgie tumeur hématologique;Autres interventions au cours de lymphomes ou de leucémies;non  ;Chirurgie au cours des tumeurs malignes (hématologie)
17C04;Chirurgie;Chirurgie;Hématologie;Chir. pour Aff. des Org. Hématopoiétiques, Lymphomes, Leucémies, Tumeurs SID;Chirurgie au cours des tumeurs malignes (hématologie);Chirurgie tumeur hématologique;Interventions majeures pour affections myéloprolifératives ou tumeurs de siège imprécis ou diffus;non  ;Chirurgie au cours des tumeurs malignes (hématologie)
17C05;Chirurgie;Chirurgie;Hématologie;Chir. pour Aff. des Org. Hématopoiétiques, Lymphomes, Leucémies, Tumeurs SID;Chirurgie au cours des tumeurs malignes (hématologie);Chirurgie tumeur hématologique;Autres interventions au cours d'affections myéloprolifératives ou de tumeurs de siège imprécis ou diffus;non  ;Chirurgie au cours des tumeurs malignes (hématologie)
17C06;Chirurgie;Chirurgie;Hématologie;Chir. pour Aff. des Org. Hématopoiétiques, Lymphomes, Leucémies, Tumeurs SID;Chirurgie au cours des tumeurs malignes (hématologie);Chirurgie tumeur hématologique;Interventions majeures de la CMD17;non  ;Chirurgie au cours des tumeurs malignes (hématologie)
17C07;Chirurgie;Chirurgie;Hématologie;Chir. pour Aff. des Org. Hématopoiétiques, Lymphomes, Leucémies, Tumeurs SID;Chirurgie au cours des tumeurs malignes (hématologie);Chirurgie tumeur hématologique;Interventions intermédiaires de la CMD17;non  ;Chirurgie au cours des tumeurs malignes (hématologie)
17C08;Chirurgie;Chirurgie;Hématologie;Chir. pour Aff. des Org. Hématopoiétiques, Lymphomes, Leucémies, Tumeurs SID;Chirurgie au cours des tumeurs malignes (hématologie);Chirurgie tumeur hématologique;Interventions mineures de la CMD17;non  ;Chirurgie au cours des tumeurs malignes (hématologie)
17K04;Médecine;Acte peu invasif;Chimiothérapie, radiothérapie, hors séances;Radiothérapie (hors séances);Radiothérapie hors séances;Radiothérapie hors séances;Autres irradiations;non  ;Autres irradiations
17K05;Médecine;Acte peu invasif;Chimiothérapie, radiothérapie, hors séances;Radiothérapie (hors séances);Radiothérapie hors séances;Radiothérapie hors séances;Curiethérapies de la prostate;non  ;Curiethérapies de la prostate
17K06;Médecine;Acte peu invasif;Chimiothérapie, radiothérapie, hors séances;Radiothérapie (hors séances);Radiothérapie hors séances;Radiothérapie hors séances;Autres curiethérapies et irradiations internes;non  ;Autres curiethérapies et irradiations internes
17K08;Médecine;Acte peu invasif;Chimiothérapie, radiothérapie, hors séances;Radiothérapie (hors séances);Radiothérapie hors séances;Radiothérapie hors séances;Autres curiethérapies;non  ;Autres curiethérapies
17K09;Médecine;Acte peu invasif;Chimiothérapie, radiothérapie, hors séances;Radiothérapie (hors séances);Radiothérapie hors séances;Radiothérapie hors séances;Irradiations internes;non  ;Irradiations internes
17M05;Médecine;Médecine sans acte classant;Chimiothérapie, radiothérapie, hors séances;Chimiothérapie (hors séances);Chimiothérapie hors séances;Chimiothérapie (hors séances);Chimiothérapie pour leucémie aigüe;oui  ;Chimiothérapie pour leucémie aigüe
17M06;Médecine;Médecine sans acte classant;Chimiothérapie, radiothérapie, hors séances;Chimiothérapie (hors séances);Chimiothérapie hors séances;Chimiothérapie (hors séances);Chimiothérapie pour autre tumeur;non  ;Chimiothérapie (hors séances)
17M07;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Autres affections myéloprolifératives et tumeurs de siège imprécis ou diffus;non  ;Autre affection myélopro, tumeur siège imprécis/diffus
17M08;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Affections hématologiques malignes ;Hématologie;Leucémies aigües, âge inférieur à 18 ans;oui  ;Leucémies aigües < 18 ans
17M09;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Affections hématologiques malignes ;Hématologie;Leucémies aigües, âge supérieur à 17 ans;oui  ;Leucémies aigües, âge supérieur à 17 ans
17M11;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Affections hématologiques malignes ;Hématologie;Autres leucémies;non  ;Autres leucémies
17M12;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Affections hématologiques malignes ;Hématologie;Lymphomes et autres affections malignes hématopoiètiques;oui  ;Lymphomes et autres affections malignes hématopoiètiques
17M13;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Polyglobulies;non  ;Polyglobulies
17M15;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Affections hématologiques malignes ;Hématologie;Lymphomes et autres affections malignes lymphoïdes;oui  ;Lymphomes et autres affections malignes lymphoïdes
17M16;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Hémopathies myéloïdes chroniques;non  ;Hémopathies myéloïdes chroniques
17M17;Médecine;Médecine sans acte classant;Hématologie;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus;Hématologie;Autres affections et tumeurs de siège imprécis ou diffus;non  ;Autres affections et tumeurs de siège imprécis ou diffus
18C02;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Interventions pour maladies infectieuses ou parasitaires;non  ;Interventions pour maladies infectieuses ou parasitaires
18M02;Médecine;Médecine sans acte classant;Maladies infectieuses (dont VIH);Fièvre, Infection, Septicémie, VIH;Maladies virales et fièvres d'origine inconnue;Maladies infectieuses;Maladies virales et fièvres d'étiologie indéterminée, âge inférieur 18 ans;non  ;Maladies virales, fièvres origine inconnue <18 ans
18M03;Médecine;Médecine sans acte classant;Maladies infectieuses (dont VIH);Fièvre, Infection, Septicémie, VIH;Maladies virales et fièvres d'origine inconnue;Maladies infectieuses;Maladies virales, âge supérieur à 17 ans;non  ;Maladies virales et fièvres d'origine inconnue
18M04;Médecine;Médecine sans acte classant;Maladies infectieuses (dont VIH);Fièvre, Infection, Septicémie, VIH;Maladies virales et fièvres d'origine inconnue;Maladies infectieuses;Fièvres d'étiologie indéterminée, âge supérieur à 17 ans;non  ;Maladies virales et fièvres d'origine inconnue
18M06;Médecine;Médecine sans acte classant;Maladies infectieuses (dont VIH);Fièvre, Infection, Septicémie, VIH;Septicémies;Maladies infectieuses;Septicémies, âge inférieur à 18 ans;non  ;Septicémies <18 ans
18M07;Médecine;Médecine sans acte classant;Maladies infectieuses (dont VIH);Fièvre, Infection, Septicémie, VIH;Septicémies;Maladies infectieuses;Septicémies, âge supérieur à 17 ans;non  ;Septicémies
18M09;Médecine;Médecine sans acte classant;Maladies infectieuses (dont VIH);Fièvre, Infection, Septicémie, VIH;Maladies infectieuses ou parasitaires hors septicémies et maladies virales;Maladies infectieuses;Paludisme;non  ;Maladie infectieuse, parasitaire hors septicémie ou maladie virale
18M10;Médecine;Médecine sans acte classant;Maladies infectieuses (dont VIH);Fièvre, Infection, Septicémie, VIH;Maladies infectieuses ou parasitaires hors septicémies et maladies virales;Maladies infectieuses;Maladies infectieuses sévères;non  ;Maladie infectieuse, parasitaire hors septicémie ou maladie virale
18M11;Médecine;Médecine sans acte classant;Maladies infectieuses (dont VIH);Fièvre, Infection, Septicémie, VIH;Maladies infectieuses ou parasitaires hors septicémies et maladies virales;Maladies infectieuses;Autres maladies infectieuses ou parasitaires;non  ;Maladie infectieuse, parasitaire hors septicémie ou maladie virale
18M15;Médecine;Médecine sans acte classant;Maladies infectieuses (dont VIH);Fièvre, Infection, Septicémie, VIH;Maladies infectieuses ou parasitaires hors septicémies et maladies virales;Maladies infectieuses;Autres maladies infectieuses concernant majoritairement la petite enfance;non  ;Autres maladies infectieuses concernant majoritairement la petite enfance
19C02;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Interventions chirurgicales avec un diagnostic principal de maladie mentale;non  ;Chir avec un diagnostic principal de maladie mentale (Transsexualisme…)
19M02;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Troubles aigus de l'adaptation et du fonctionnement psychosocial;non  ;Troubles aigus de l'adaptation et du fonctionnement psychosocial
19M06;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Troubles mentaux d'origine organique et retards mentaux;Psychiatrie;Troubles mentaux d'origine organique et retards mentaux, âge supérieur à 79 ans;non  ;Troubles mentaux d'origine organique et retards mentaux, âge supérieur à 79 ans
19M07;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Troubles mentaux d'origine organique et retards mentaux;Psychiatrie;Troubles mentaux d'origine organique et retards mentaux, âge inférieur à 80 ans;non  ;Troubles mentaux d'origine organique et retards mentaux, âge inférieur à 80 ans
19M10;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Névroses autres que les névroses dépressives;non  ;Névroses autres que les névroses dépressives
19M11;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Névroses dépressives;non  ;Névroses dépressives
19M12;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Anorexie mentale et boulimie;oui  ;Anorexie mentale et boulimie
19M13;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Autres troubles de la personnalité et du comportement avec réactions impulsives;non  ;Autre trouble personnalité et comportement avec réaction impulsive
19M14;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Troubles bipolaires et syndromes dépressifs sévères;non  ;Troubles bipolaires et syndromes dépressifs sévères
19M15;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Autres psychoses, âge supérieur à 79 ans;non  ;Autres psychoses, âge supérieur à 79 ans
19M16;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Autres psychoses, âge inférieur à 80 ans;non  ;Autres psychoses, âge inférieur à 80 ans
19M17;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Maladies et troubles du développement psychologiques de l'enfance;non  ;Maladies et troubles du développement psychologiques de l'enfance
19M18;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Autres maladies et troubles mentaux de l'enfance;non  ;Autres maladies et troubles mentaux de l'enfance
19M19;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Troubles de l'humeur;non  ;Troubles de l'humeur
19M20;Médecine;Médecine sans acte classant;Psychiatrie;Psychiatrie;Névroses, psychoses et autres troubles mentaux;Psychiatrie;Autres troubles mentaux;non  ;Autres troubles mentaux
20Z02;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Toxicomanies et alcoolisme;Toxicologie, Intoxications, Alcool;Toxicomanies non éthyliques avec dépendance;non  ;Toxicomanies non éthyliques avec dépendance
20Z03;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Toxicomanies et alcoolisme;Toxicologie, Intoxications, Alcool;Abus de drogues non éthyliques sans dépendance;non  ;Abus de drogues non éthyliques sans dépendance
20Z04;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Toxicomanies et alcoolisme;Toxicologie, Intoxications, Alcool;Ethylisme avec dépendance;non  ;Ethylisme avec dépendance
20Z05;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Toxicomanies et alcoolisme;Toxicologie, Intoxications, Alcool;Ethylisme aigu;non  ;Ethylisme aigu
20Z06;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Toxicomanies et alcoolisme;Toxicologie, Intoxications, Alcool;Troubles mentaux organiques induits par l'alcool ou d'autres substances;non  ;Trouble mental organique induit par alcool ou autre substance
21C02;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Greffes de peau pour lésions autres que des brûlures;non  ;Greffes peau / parages hors brûlures
21C03;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Parages de plaies pour lésions autres que des brûlures;non  ;Greffes peau / parages hors brûlures
21C04;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgies main, poignet;Ortho Traumato;Interventions sur la main ou le poignet à la suite de blessures;non  ;Chir main, poignet hors carpien (trauma notamment)
21C05;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Autres interventions pour blessures ou complications d'acte;non  ;Autres interventions pour blessures ou complications d'acte
21C06;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Greffes de peau ou parages de plaies pour lésions autres que des brûlures;non  ;Greffes peau / parages hors brûlures
21M02;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Iatrogénie, intox médicamenteuses et chimiques;Toxicologie, Intoxications, Alcool;Effets toxiques des médicaments et substances biologiques, âge inférieur à 18 ans;non  ;Iatrogénie, intox médicamenteuses et chimiques < 18 ans
21M04;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Allergies;Toxicologie, Intoxications, Alcool;Réactions allergiques non classées ailleurs, âge inférieur à 18 ans;non  ;Réactions allergiques non classées ailleurs < 18 ans
21M05;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Allergies;Toxicologie, Intoxications, Alcool;Réactions allergiques non classées ailleurs, âge supérieur à 17 ans;non  ;Réactions allergiques non classées ailleurs, âge supérieur à 17 ans
21M06;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Traumatismes imprécis, âge inférieur à 18 ans;non  ;Traumatologie non opérée <18 ans
21M07;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Traumatismes imprécis, âge supérieur à 17 ans;non  ;Traumatologie non opérée
21M10;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Iatrogénie, intox médicamenteuses et chimiques;Toxicologie, Intoxications, Alcool;Effets toxiques des médicaments et substances biologiques, âge supérieur à 17 ans;non  ;Iatrogénie, intox médicamenteuses et chimiques
21M11;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Iatrogénie, intox médicamenteuses et chimiques;Toxicologie, Intoxications, Alcool;Effets toxiques des autres substances chimiques;non  ;Iatrogénie, intox médicamenteuses et chimiques
21M12;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Iatrogénie, intox médicamenteuses et chimiques;Toxicologie, Intoxications, Alcool;Autres effets toxiques;non  ;Iatrogénie, intox médicamenteuses et chimiques
21M13;Médecine;Médecine sans acte classant;Activités inter spécialités, suivi thérapeutique d'affections connues;Médecine inter spécialités, Autres symptômes ou motifs médicaux;Médecine inter spécialités;Autres médecine;Maltraitance;non  ;Maltraitance
21M14;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Iatrogénie, intox médicamenteuses et chimiques;Toxicologie, Intoxications, Alcool;Autres traumatismes et effets nocifs autres que les intoxications;non  ;Iatrogénie, intox médicamenteuses et chimiques
21M15;Médecine;Médecine sans acte classant;Activités inter spécialités, suivi thérapeutique d'affections connues;Médecine inter spécialités, Autres symptômes ou motifs médicaux;Médecine inter spécialités;Autres médecine;Rejets de greffe;oui  ;Rejets de greffe
21M16;Médecine;Médecine sans acte classant;Toxicologie, Intoxications, Alcool;Effets nocifs, alcool, toxicologie, allergies;Iatrogénie, intox médicamenteuses et chimiques;Toxicologie, Intoxications, Alcool;Autres complications iatrogéniques non classées ailleurs;non  ;Iatrogénie, intox médicamenteuses et chimiques
22C02;Chirurgie;Chirurgie;Brûlures;Chirurgie pour brûlures;Brûlures chirurgie;Brûlures;Brûlures non étendues avec greffe cutanée;oui  ;Brûlures chirurgie
22C03;Chirurgie;Chirurgie;Brûlures;Chirurgie pour brûlures;Brûlures chirurgie;Brûlures;Brûlures non étendues avec parages de plaie ou autres interventions chirurgicales;oui  ;Brûlures chirurgie
22M02;Chirurgie;Médecine sans acte classant;Brûlures;Brûlures;Brûlures sans acte opératoire classant;Brûlures;Brûlures et gelures non étendues sans intervention chirurgicale;non  ;Brûlures sans acte opératoire classant
22Z02;Chirurgie;Médecine sans acte classant;Brûlures;Brûlures;Brûlures sans acte opératoire classant;Brûlures;Brûlures étendues;oui  ;Brûlures sans acte opératoire classant
23C02;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Interventions chirurgicales avec autres motifs de recours aux services de santé;non  ;Chir avec autre motif de recours aux services de santé
23M06;Médecine;Médecine sans acte classant;Activités inter spécialités, suivi thérapeutique d'affections connues;Médecine inter spécialités, Autres symptômes ou motifs médicaux;Signes et symptômes;Autres médecine;Autres facteurs influant sur l'état de santé;non  ;Signes et symptômes (Bilan préop, AEG, malaise, saigné…)
23M09;Médecine;Médecine sans acte classant;Chimiothérapie, radiothérapie, hors séances;Chimiothérapie (hors séances);Chimiothérapie non tumorale hors séances;Chimiothérapie (hors séances);Chimiothérapie pour affections non tumorales;non  ;Chimiothérapie pour affections non tumorales
23M10;Médecine;Médecine sans acte classant;Activités inter spécialités, suivi thérapeutique d'affections connues;Suivi thérap. d'affections connues, Allergologie, Rééducation, Convalescence;Suivi thérap.d'affections connues ;Autres médecine;Soins de contrôle chirurgicaux;non  ;Suivi thérap.d'affections connues 
23M11;Médecine;Médecine sans acte classant;Activités inter spécialités, suivi thérapeutique d'affections connues;Médecine inter spécialités, Autres symptômes ou motifs médicaux;Médecine inter spécialités;Autres médecine;Autres motifs concernant majoritairement la petite enfance;non  ;Autres motifs concernant majoritairement la petite enfance
25C02;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Interventions pour maladie due au VIH;oui  ;Interventions pour maladie due au VIH
25Z03;Médecine;Médecine sans acte classant;Maladies infectieuses (dont VIH);Fièvre, Infection, Septicémie, VIH;Maladies VIH;Maladies infectieuses;Maladies dues au VIH, âge inférieur à 13 ans;oui  ;Maladies VIH
